Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
In contrast , autoimmunity results from a hyperactive immune system attacking normal tissues as if they were foreign organisms .	In contrast , autoimmune diseases result from an immune system that attacks normal tissues as if they were foreign organisms .
Even simple unicellular organisms such as bacteria possess a rudimentary immune system , in the form of enzymes that protect against bacteriophage infections .	Even simple unicellular organisms such as bacteria possess enzyme systems that protect against viral infections .
Disorders of the immune system can result in autoimmune diseases , inflammatory diseases and cancer .	These result in other diseases , including autoimmune diseases , inflammatory diseases and possibly even cancer .
Immunodeficiency occurs when the immune system is less active than normal , resulting in recurring and life-threatening infections .	Immunodeficiency diseases occur when the immune system is less active than normal .
To function properly , an immune system must detect a wide variety of agents , known as pathogens , from viruses to parasitic worms , and distinguish them from the organism 's own healthy tissue .	The immune system can detect and identify many different kinds of disease agents .
The innate immune system is the dominant system of host defense in most organisms .	These are the innate immune system , which defends the host from infections in a non-specific way .
If the body is unable to maintain a normal temperature and it increases significantly above normal , a condition known as hyperthermia occurs .	If the body is unable to maintain a normal temperature and it increases significantly above normal , a condition known as hyperthermia occurs .
The opposite condition , when body temperature decreases below normal levels , is known as hypothermia .	The opposite condition , when body temperature decreases below normal levels , is known as hypothermia .
The excretory duct of each seminal gland opens into the vas deferens as it enters the prostate gland .	There is a tube linking the seminal glands which opens into the vas deferens and prostate gland .
The seminal vesicles are arranged as a series of glands which drain into a central duct .	The seminal vesicles are a pair of tube-like glands .
The time variable of right atrial systole , is ( TV ) open to ( TV ) close .	This is called `` atrial systole '' .
Mechanical systole is the origin of the pulse .	This phase is the origin of the pulse .
Most of the capsaicin in a pungent ( hot ) pepper is concentrated in blisters on the epidermis of the interior ribs ( septa ) that divide the chambers of the fruit to which the seeds are attached .	Most of the capsaicin in a pepper is found in the interior ribs that divide the chambers of the fruit , and to which the seeds are attached .
The fruit of most species of Capsicum contains capsaicin ( methyl vanillyl nonenamide ) , a lipophilic chemical that can produce a strong burning sensation ( pungency or spiciness ) in the mouth of the unaccustomed eater .	The fruit of most species of Capsicum contains capsaicin .
Hence , euthanasia can be voluntary only . ''	Euthanasia can be voluntary , where the person who dies specifically asks for help in ending their life .
An altered state of consciousness ( ASC ) , also called altered state of mind , is any condition which is significantly different from a normal waking beta wave state .	An altered state of consciousness ( ASC ) , or altered state of mind , is any condition which is significantly different from a normal waking state .
At the hospital , the doctors decided that he was mentally unstable .	At the hospital , the doctors said he was mentally unstable .
He has a vision impairment , retinitis pigmentosa , a degenerative disease .	Doctors learned he had retinitis pigmentosa , an eye disease that means he sees worse over time .
Oxytocin secreted from the pituitary gland can not re-enter the brain because of the blood-brain barrier .	Strange to say , the oxytocin released by the pituitary gland can not reach the brain : it does have effects on the rest of the body .
Leakey was diagnosed with a terminal kidney disease in 1969 .	Leakey was diagnosed with a terminal kidney disease in 1969 .
In August 1994 , at the age of 83 , Reagan was diagnosed with Alzheimer 's disease , an incurable neurological disorder which destroys brain cells and ultimately causes death .	In 1994 , Reagan was diagnosed with Alzheimer 's disease .
